,id,park,plain_dates,genus_species,url,image_url,hyperlink,status
7504,131637810,Tilden,20220816,Cirsium vulgare,https://www.inaturalist.org/observations/131637810,https://static.inaturalist.org/photos/224045545/medium.jpg,https://static.inaturalist.org/photos/224045545/medium.jpg,1
7755,14448658,Tilden,20180715,Cirsium vulgare,https://www.inaturalist.org/observations/14448658,https://static.inaturalist.org/photos/21505415/medium.jpg,https://static.inaturalist.org/photos/21505415/medium.jpg,1
7759,16243652,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16243652,https://inaturalist-open-data.s3.amazonaws.com/photos/24383006/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383006/medium.jpg,1
7761,16243839,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16243839,https://inaturalist-open-data.s3.amazonaws.com/photos/24383340/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383340/medium.jpg,1
7768,16244273,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244273,https://inaturalist-open-data.s3.amazonaws.com/photos/24383005/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383005/medium.jpeg,1
7773,16244498,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244498,https://inaturalist-open-data.s3.amazonaws.com/photos/24383377/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383377/medium.jpeg,1
7775,16244572,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244572,https://inaturalist-open-data.s3.amazonaws.com/photos/24384032/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24384032/medium.jpeg,1
7778,16244593,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244593,https://inaturalist-open-data.s3.amazonaws.com/photos/24383468/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383468/medium.jpeg,1
7780,16244606,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244606,https://inaturalist-open-data.s3.amazonaws.com/photos/24383282/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383282/medium.jpeg,1
7786,16244719,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244719,https://inaturalist-open-data.s3.amazonaws.com/photos/24384109/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/24384109/medium.jpg,6
7790,16244733,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16244733,https://inaturalist-open-data.s3.amazonaws.com/photos/24383323/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24383323/medium.jpeg,1
7796,16445872,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16445872,https://inaturalist-open-data.s3.amazonaws.com/photos/24747378/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24747378/medium.jpeg,1
7798,16460490,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16460490,https://inaturalist-open-data.s3.amazonaws.com/photos/24772838/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/24772838/medium.jpeg,1
7799,16597299,Tilden,20180901,Cirsium vulgare,https://www.inaturalist.org/observations/16597299,https://inaturalist-open-data.s3.amazonaws.com/photos/25004588/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/25004588/medium.jpeg,1
7887,22453798,Tilden,20190412,Cirsium vulgare,https://www.inaturalist.org/observations/22453798,https://inaturalist-open-data.s3.amazonaws.com/photos/34780822/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/34780822/medium.jpg,0
8082,28403530,Tilden,20190707,Cirsium vulgare,https://www.inaturalist.org/observations/28403530,https://static.inaturalist.org/photos/44275339/medium.jpg,https://static.inaturalist.org/photos/44275339/medium.jpg,1
8121,34253592,Tilden,20191012,Cirsium vulgare,https://www.inaturalist.org/observations/34253592,https://static.inaturalist.org/photos/53906182/medium.jpg,https://static.inaturalist.org/photos/53906182/medium.jpg,1
8122,34266785,Tilden,20191012,Dipsacus sativus,https://www.inaturalist.org/observations/34266785,https://static.inaturalist.org/photos/53906279/medium.jpg,https://static.inaturalist.org/photos/53906279/medium.jpg,3
8378,51413629,Tilden,20200629,Cirsium vulgare,https://www.inaturalist.org/observations/51413629,https://inaturalist-open-data.s3.amazonaws.com/photos/81683821/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/81683821/medium.jpg,1
8411,65713908,Tilden,20201127,Cirsium vulgare,https://www.inaturalist.org/observations/65713908,https://inaturalist-open-data.s3.amazonaws.com/photos/105813101/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/105813101/medium.jpg,1
8415,68559965,Tilden,20201227,Dipsacus sativus,https://www.inaturalist.org/observations/68559965,https://static.inaturalist.org/photos/111045996/medium.jpg,https://static.inaturalist.org/photos/111045996/medium.jpg,5
8433,69705956,Tilden,20210215,Cirsium vulgare,https://www.inaturalist.org/observations/69705956,https://inaturalist-open-data.s3.amazonaws.com/photos/113164159/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/113164159/medium.jpg,5
